,North Carolina State University,UNC Chapel Hill,University of Notre Dame,Penn State,Purdue,Duke,Umass Amherst,Syracuse University,UMD,University of Michigan,University of Texas Austin
2020-07-04,,,,,,,,,,1.0867142857142857,20.857142857142858
2020-07-05,,,,,,,,,,1.09,21.0
2020-07-06,,,,,,,,,,1.0944285714285715,21.0
2020-07-07,,,,,,,,,,1.098857142857143,21.0
2020-07-08,,,,,,,,,,1.1032857142857144,21.0
2020-07-09,,,,,,,,,,1.1077142857142857,21.0
2020-07-10,,,,,,,,,,1.112142857142857,21.0
2020-07-11,,,,,,,,,,1.1165714285714285,21.0
2020-07-12,,,,,,,,,,1.121,21.0
2020-07-13,,,,,,,,,,1.1275714285714287,21.0
2020-07-14,,,,,,,,,,1.1341428571428571,21.0
2020-07-15,,,,,,,,,,1.1407142857142858,21.0
2020-07-16,,,,,,,,,,1.1472857142857142,21.0
2020-07-17,,,,,,,,,,1.153857142857143,21.0
2020-07-18,,,,,,,,,,1.1604285714285714,21.0
2020-07-19,,,,,,,,,,1.167,21.0
2020-07-20,,,,,,,,,,1.1725714285714286,21.0
2020-07-21,,,,,,,,,,1.1781428571428572,21.0
2020-07-22,,,,,,,,,,1.1837142857142857,21.0
2020-07-23,,,,,,,,,,1.1892857142857143,21.0
2020-07-24,,,,,,,,,,1.1948571428571428,21.0
2020-07-25,,,,,,,,,,1.2004285714285714,21.0
2020-07-26,,13.0,,,,,,,,1.206,21.0
2020-07-27,,14.857142857142858,,,,,,,,1.2082857142857142,21.0
2020-07-28,,16.714285714285715,,,,,,,,1.2105714285714286,21.0
2020-07-29,,18.57142857142857,,,,,,,,1.2128571428571429,21.0
2020-07-30,,20.42857142857143,,,,,,,,1.215142857142857,21.0
2020-07-31,,22.285714285714285,,,,,,,,1.2174285714285713,21.0
2020-08-01,,24.142857142857142,,,0,,,,,1.2197142857142858,21.0
2020-08-02,,26.0,,,0,,,,,1.222,21.0
2020-08-03,,27.428571428571427,0,,0,,,,,1.2234285714285713,21.0
2020-08-04,,28.857142857142858,0,,2,,,,,1.2248571428571429,21.0
2020-08-05,,30.285714285714285,0,,3,,,,,1.2262857142857142,21.0
2020-08-06,,31.714285714285715,0,,4,,,0.0,,1.2277142857142858,21.0
2020-08-07,,33.142857142857146,0,,4,,0,0.6,,1.229142857142857,21.0
2020-08-08,,34.57142857142857,1,,4,,0,1.2,,1.2305714285714286,21.0
2020-08-09,,36.0,3,,4,,0,1.7999999999999998,1,1.232,21.0
2020-08-10,,54.57142857142857,9,,4,,0,2.4,,1.2332857142857143,21.0
2020-08-11,,73.14285714285714,14,,4,,0,3.0,,1.2345714285714284,21.0
2020-08-12,,91.71428571428572,23,,4,,0,3.2857142857142856,,1.2358571428571428,21.0
2020-08-13,,110.28571428571429,37,0.0,6,,1,3.571428571428571,,1.237142857142857,21.0
2020-08-14,,128.85714285714286,51,0.2857142857142857,7,,1,3.857142857142857,,1.2384285714285714,21.0
2020-08-15,,147.42857142857144,55,0.5714285714285714,11,15.0,1,4.142857142857142,,1.2397142857142855,21.0
2020-08-16,,166.0,71,0.8571428571428571,13,18.666666666666668,1,4.428571428571429,,1.2409999999999999,21.0
2020-08-17,,,169,1.1428571428571428,22,22.333333333333332,1,4.714285714285714,,1.2409999999999999,
2020-08-18,20,,249,1.4285714285714284,22,26.0,2,5.0,,1.2409999999999999,
2020-08-19,25,,325,1.7142857142857142,26,29.666666666666664,2,6.666666666666667,3,1.2409999999999999,
2020-08-20,25,,348,2.0,35,33.33333333333333,3,8.333333333333334,5,1.2409999999999999,
2020-08-21,78,,372,,49,37.0,5,10.0,5,1.2409999999999999,
2020-08-22,78,,391,,52,,5,,6,1.2409999999999999,
2020-08-23,240,,421,,,,6,,7,1.2409999999999999,
